*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2016-01-26 10:22:51:994282" "target: _/robot_head"
"2016-01-26 10:22:52:027604" "target: _/robot_head"
"2016-01-26 10:22:52:060964" "target: _/robot_head"
"2016-01-26 10:22:58:161029" "target: _/robot_head"
"2016-01-26 10:22:58:194297" "target: _/robot_head"
"2016-01-26 10:22:58:227702" "target: _/robot_head"
"2016-01-26 10:22:58:261018" "target: _/robot_head"
"2016-01-26 10:22:58:294389" "target: _/robot_head"
"2016-01-26 10:22:58:327700" "target: _/robot_head"
"2016-01-26 10:22:58:360982" "target: _/robot_head"
"2016-01-26 10:22:58:394320" "target: _/robot_head"
"2016-01-26 10:22:58:427650" "target: _/robot_head"
"2016-01-26 10:22:58:460977" "target: _/robot_head"
"2016-01-26 10:22:58:494356" "target: _/robot_head"
"2016-01-26 10:22:58:527672" "target: _/robot_head"
"2016-01-26 10:22:58:561003" "target: _/robot_head"
"2016-01-26 10:23:26:127635" "target: _/experimenter"
"2016-01-26 10:23:26:160912" "target: _/experimenter"
"2016-01-26 10:23:26:194346" "target: _/experimenter"
"2016-01-26 10:23:26:227650" "target: _/experimenter"
"2016-01-26 10:24:05:960920" "target: _/robot_head"
"2016-01-26 10:24:40:228779" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:24:44:229496" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:24:45:229903" "target: _/robot_head"
"2016-01-26 10:24:48:096670" "target: _/experimenter"
"2016-01-26 10:24:48:129967" "target: _/experimenter"
"2016-01-26 10:25:40:988851" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:25:44:989736" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:25:48:990712" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:25:52:991642" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:25:56:992447" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:25:58:992911" "target: _/robot_head/tablet"
"2016-01-26 10:26:13:011973" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:26:17:068073" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:26:18:087840" "target: _/robot_head"
"2016-01-26 10:27:26:621412" "target: _/robot_head"
"2016-01-26 10:27:51:788112" "target: _/experimenter"
"2016-01-26 10:27:51:821419" "target: _/experimenter"
"2016-01-26 10:28:09:909628" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:28:10:909970" "target: _/robot_head"
"2016-01-26 10:28:14:210088" "target: _/experimenter"
"2016-01-26 10:28:14:243680" "target: _/experimenter"
"2016-01-26 10:28:14:276744" "target: _/experimenter"
"2016-01-26 10:28:14:310844" "target: _/experimenter"
"2016-01-26 10:28:14:410030" "target: _/experimenter"
"2016-01-26 10:28:14:443429" "target: _/experimenter"
"2016-01-26 10:28:14:476762" "target: _/experimenter"
"2016-01-26 10:28:14:510564" "target: _/experimenter"
"2016-01-26 10:29:19:510848" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:29:21:511280" "target: _/robot_head/tablet"
"2016-01-26 10:30:45:711841" "target: _/robot_head/tablet"
"2016-01-26 10:32:03:245307" "target: _/robot_head"
"2016-01-26 10:32:03:278528" "target: _/robot_head"
"2016-01-26 10:32:03:311889" "target: _/robot_head"
"2016-01-26 10:32:03:345229" "target: _/robot_head"
"2016-01-26 10:32:03:378547" "target: _/robot_head"
"2016-01-26 10:32:03:411899" "target: _/robot_head"
"2016-01-26 10:32:03:445208" "target: _/robot_head"
"2016-01-26 10:32:03:478567" "target: _/robot_head"
"2016-01-26 10:32:03:511896" "target: _/robot_head"
"2016-01-26 10:32:03:545232" "target: _/robot_head"
"2016-01-26 10:32:03:578564" "target: _/robot_head"
"2016-01-26 10:32:03:611872" "target: _/robot_head"
"2016-01-26 10:32:03:645239" "target: _/robot_head"
"2016-01-26 10:32:03:678558" "target: _/robot_head"
"2016-01-26 10:32:03:711847" "target: _/robot_head"
"2016-01-26 10:32:03:745224" "target: _/robot_head"
"2016-01-26 10:32:03:778562" "target: _/robot_head"
"2016-01-26 10:32:03:811919" "target: _/robot_head"
"2016-01-26 10:32:03:845232" "target: _/robot_head"
"2016-01-26 10:32:03:878567" "target: _/robot_head"
"2016-01-26 10:32:03:911902" "target: _/robot_head"
"2016-01-26 10:32:03:945216" "target: _/robot_head"
"2016-01-26 10:32:03:978585" "target: _/robot_head"
"2016-01-26 10:32:04:011897" "target: _/robot_head"
"2016-01-26 10:32:04:045235" "target: _/robot_head"
"2016-01-26 10:32:04:078544" "target: _/robot_head"
"2016-01-26 10:32:04:111902" "target: _/robot_head"
"2016-01-26 10:32:04:145185" "target: _/robot_head"
"2016-01-26 10:32:04:178537" "target: _/robot_head"
"2016-01-26 10:32:04:211907" "target: _/robot_head"
"2016-01-26 10:32:04:245242" "target: _/robot_head"
"2016-01-26 10:32:04:278569" "target: _/robot_head"
"2016-01-26 10:32:07:078510" "target: _/robot_head"
"2016-01-26 10:32:07:178521" "target: _/robot_head"
"2016-01-26 10:32:07:211842" "target: _/robot_head"
"2016-01-26 10:32:07:345204" "target: _/robot_head"
"2016-01-26 10:32:07:378503" "target: _/robot_head"
"2016-01-26 10:32:07:478503" "target: _/robot_head"
"2016-01-26 10:32:07:511888" "target: _/robot_head"
"2016-01-26 10:32:07:545170" "target: _/robot_head"
"2016-01-26 10:32:07:578502" "target: _/robot_head"
"2016-01-26 10:32:07:611878" "target: _/robot_head"
"2016-01-26 10:32:07:645201" "target: _/robot_head"
"2016-01-26 10:32:07:678509" "target: _/robot_head"
"2016-01-26 10:32:07:711875" "target: _/robot_head"
"2016-01-26 10:32:07:745211" "target: _/robot_head"
"2016-01-26 10:32:07:778506" "target: _/robot_head"
"2016-01-26 10:32:07:811879" "target: _/robot_head"
"2016-01-26 10:32:07:845220" "target: _/robot_head"
"2016-01-26 10:32:26:245954" "target: _/robot_head/tablet/selection_tablet"
"2016-01-26 10:32:46:088211" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:32:50:108652" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:32:51:108913" "target: _/robot_head"
"2016-01-26 10:33:13:209250" "target: _/robot_head"
"2016-01-26 10:33:30:811064" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:33:34:829798" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:33:38:837166" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:33:42:867970" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:33:46:908527" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:33:50:909577" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:33:54:911225" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:33:56:911784" "target: _/robot_head/tablet"
"2016-01-26 10:34:26:279587" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:34:30:280453" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:34:34:288255" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:34:38:351486" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:34:40:352286" "target: _/robot_head/tablet"
"2016-01-26 10:34:54:436225" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:34:58:468071" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:35:02:499982" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:35:06:568088" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:35:10:608285" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:35:14:648130" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:35:17:668393" "target: _/robot_head/tablet/selection_tablet"
"2016-01-26 10:35:35:516462" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:35:39:568252" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:35:43:588474" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:35:47:590049" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:35:51:591157" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:35:55:592169" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:35:59:593209" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:36:03:594173" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:36:07:595037" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:36:11:596007" "target: _/robot_head/tablet/selection_tablet/experimenter"
