*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2016-01-26 10:22:47:036583" "withmeness: 0.5"
"2016-01-26 10:22:48:036938" "withmeness: 0.5"
"2016-01-26 10:22:49:037801" "withmeness: 0.5"
"2016-01-26 10:22:50:038441" "withmeness: 0.5"
"2016-01-26 10:22:51:039713" "withmeness: 0.5"
"2016-01-26 10:22:52:040889" "withmeness: 0.45"
"2016-01-26 10:22:53:042127" "withmeness: 0.45"
"2016-01-26 10:22:54:043339" "withmeness: 0.45"
"2016-01-26 10:22:55:043667" "withmeness: 0.45"
"2016-01-26 10:22:56:044868" "withmeness: 0.45"
"2016-01-26 10:22:57:046149" "withmeness: 0.45"
"2016-01-26 10:22:58:047368" "withmeness: 0.45"
"2016-01-26 10:22:59:048607" "withmeness: 0.45"
"2016-01-26 10:23:00:049777" "withmeness: 0.45"
"2016-01-26 10:23:01:050958" "withmeness: 0.45"
"2016-01-26 10:23:02:052242" "withmeness: 0.45"
"2016-01-26 10:23:03:053425" "withmeness: 0.45"
"2016-01-26 10:23:04:054657" "withmeness: 0.45"
"2016-01-26 10:23:05:055805" "withmeness: 0.45"
"2016-01-26 10:23:06:056992" "withmeness: 0.45"
"2016-01-26 10:23:07:057519" "withmeness: 0.45"
"2016-01-26 10:23:08:058731" "withmeness: 0.45"
"2016-01-26 10:23:09:059969" "withmeness: 0.45"
"2016-01-26 10:23:10:061211" "withmeness: 0.45"
"2016-01-26 10:23:11:062403" "withmeness: 0.45"
"2016-01-26 10:23:12:063689" "withmeness: 0.45"
"2016-01-26 10:23:13:064902" "withmeness: 0.45"
"2016-01-26 10:23:14:066105" "withmeness: 0.45"
"2016-01-26 10:23:15:067313" "withmeness: 0.45"
"2016-01-26 10:23:16:067764" "withmeness: 0.45"
"2016-01-26 10:23:17:069054" "withmeness: 0.45"
"2016-01-26 10:23:18:070049" "withmeness: 0.45"
"2016-01-26 10:23:19:071233" "withmeness: 0.45"
"2016-01-26 10:23:20:072175" "withmeness: 0.45"
"2016-01-26 10:23:21:073350" "withmeness: 0.45"
"2016-01-26 10:23:22:073966" "withmeness: 0.45"
"2016-01-26 10:23:23:075233" "withmeness: 0.45"
"2016-01-26 10:23:24:076163" "withmeness: 0.45"
"2016-01-26 10:23:25:077365" "withmeness: 0.45"
"2016-01-26 10:23:26:078095" "withmeness: 0.45"
"2016-01-26 10:23:27:079328" "withmeness: 0.45"
"2016-01-26 10:23:28:080526" "withmeness: 0.45"
"2016-01-26 10:23:29:081727" "withmeness: 0.45"
"2016-01-26 10:23:30:082339" "withmeness: 0.45"
"2016-01-26 10:23:31:083568" "withmeness: 0.45"
"2016-01-26 10:23:32:084393" "withmeness: 0.45"
"2016-01-26 10:23:33:085235" "withmeness: 0.45"
"2016-01-26 10:23:34:086469" "withmeness: 0.45"
"2016-01-26 10:23:35:087707" "withmeness: 0.45"
