[rosmaster.main][INFO] 2016-01-25 13:09:03,813: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-01-25 13:09:03,813: Starting ROS Master Node
[xmlrpc][INFO] 2016-01-25 13:09:03,814: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-01-25 13:09:03,814: Started XML-RPC server [http://10.0.0.11:11311/]
[xmlrpc][INFO] 2016-01-25 13:09:03,815: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-01-25 13:09:03,815: Master initialized: port[11311], uri[http://10.0.0.11:11311/]
[rosmaster.master][INFO] 2016-01-25 13:09:03,894: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-01-25 13:09:03,895: +PARAM [/roslaunch/uris/host_10_0_0_11__56752] by /roslaunch
[rosmaster.master][INFO] 2016-01-25 13:09:03,972: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2016-01-25 13:09:03,972: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2016-01-25 13:09:03,976: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.11:59821/
[rosmaster.master][INFO] 2016-01-25 13:09:03,977: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.11:59821/
[rosmaster.master][INFO] 2016-01-25 13:09:03,978: +PUB [/rosout_agg] /rosout http://10.0.0.11:59821/
[rosmaster.master][INFO] 2016-01-25 13:09:03,981: +SUB [/rosout] /rosout http://10.0.0.11:59821/
[rosmaster.master][INFO] 2016-01-25 13:16:52,859: +PUB [/rosout] /rviz_1453724212857439178 http://10.0.0.11:53911/
[rosmaster.master][INFO] 2016-01-25 13:16:52,860: +SERVICE [/rviz_1453724212857439178/get_loggers] /rviz_1453724212857439178 http://10.0.0.11:53911/
[rosmaster.master][INFO] 2016-01-25 13:16:52,860: +SERVICE [/rviz_1453724212857439178/set_logger_level] /rviz_1453724212857439178 http://10.0.0.11:53911/
[rosmaster.master][INFO] 2016-01-25 13:16:52,952: publisherUpdate[/rosout] -> http://10.0.0.11:59821/
[rosmaster.master][INFO] 2016-01-25 13:16:53,164: +SUB [/tf] /rviz_1453724212857439178 http://10.0.0.11:53911/
[rosmaster.master][INFO] 2016-01-25 13:16:53,167: +SUB [/tf_static] /rviz_1453724212857439178 http://10.0.0.11:53911/
[rosmaster.master][INFO] 2016-01-25 13:16:53,789: +PUB [/initialpose] /rviz_1453724212857439178 http://10.0.0.11:53911/
[rosmaster.master][INFO] 2016-01-25 13:16:53,835: +PUB [/goal] /rviz_1453724212857439178 http://10.0.0.11:53911/
[rosmaster.master][INFO] 2016-01-25 13:16:53,937: -PUB [/goal] /rviz_1453724212857439178 http://10.0.0.11:53911/
[rosmaster.master][INFO] 2016-01-25 13:16:53,938: -PUB [/initialpose] /rviz_1453724212857439178 http://10.0.0.11:53911/
[rosmaster.master][INFO] 2016-01-25 13:16:53,985: +PUB [/initialpose] /rviz_1453724212857439178 http://10.0.0.11:53911/
[rosmaster.master][INFO] 2016-01-25 13:16:53,986: +PUB [/goal] /rviz_1453724212857439178 http://10.0.0.11:53911/
[rosmaster.master][INFO] 2016-01-25 13:16:53,986: +PUB [/move_base_simple/goal] /rviz_1453724212857439178 http://10.0.0.11:53911/
[rosmaster.master][INFO] 2016-01-25 13:16:53,987: -PUB [/goal] /rviz_1453724212857439178 http://10.0.0.11:53911/
[rosmaster.master][INFO] 2016-01-25 13:16:53,988: +PUB [/clicked_point] /rviz_1453724212857439178 http://10.0.0.11:53911/
[rosmaster.master][INFO] 2016-01-25 13:16:54,191: +SERVICE [/rviz_1453724212857439178/reload_shaders] /rviz_1453724212857439178 http://10.0.0.11:53911/
[rosmaster.master][INFO] 2016-01-25 13:17:54,116: -PUB [/rosout] /android/wordpub2 http://10.0.0.3:46843/
[rosmaster.master][INFO] 2016-01-25 13:17:54,116: -PUB [/words_to_write] /android/wordpub2 http://10.0.0.3:46843/
[rosmaster.master][INFO] 2016-01-25 13:17:57,067: +PUB [/rosout] /android/wordpub http://10.0.0.3:33646/
[rosmaster.master][INFO] 2016-01-25 13:17:57,102: +PUB [/words_to_write] /android/wordpub http://10.0.0.3:33646/
[rosmaster.master][INFO] 2016-01-25 13:17:57,143: publisherUpdate[/rosout] -> http://10.0.0.11:59821/
[rosmaster.master][INFO] 2016-01-25 13:18:39,088: +PARAM [/roslaunch/uris/host_10_0_0_11__38782] by /roslaunch
[rosmaster.master][INFO] 2016-01-25 13:18:39,091: +PARAM [/webcam_source/gscam_config] by /roslaunch
[rosmaster.master][INFO] 2016-01-25 13:18:39,091: +PARAM [/webcam_source/sync_sink] by /roslaunch
[rosmaster.master][INFO] 2016-01-25 13:18:39,091: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2016-01-25 13:18:39,091: +PARAM [/webcam_source/camera_name] by /roslaunch
[rosmaster.master][INFO] 2016-01-25 13:18:39,091: +PARAM [/head_pose_estimation/face_model] by /roslaunch
[rosmaster.master][INFO] 2016-01-25 13:18:39,091: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2016-01-25 13:18:39,091: +PARAM [/withmeness/targets] by /roslaunch
[rosmaster.master][INFO] 2016-01-25 13:18:39,091: +PARAM [/webcam_source/camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2016-01-25 13:18:39,091: +PARAM [/webcam_source/frame_id] by /roslaunch
[rosmaster.master][INFO] 2016-01-25 13:18:39,184: +PUB [/rosout] /webcam_source http://10.0.0.11:34279/
[rosmaster.master][INFO] 2016-01-25 13:18:39,186: +SERVICE [/webcam_source/get_loggers] /webcam_source http://10.0.0.11:34279/
[rosmaster.master][INFO] 2016-01-25 13:18:39,186: +PUB [/rosout] /tablet_transform http://10.0.0.11:55068/
[rosmaster.master][INFO] 2016-01-25 13:18:39,187: +SERVICE [/webcam_source/set_logger_level] /webcam_source http://10.0.0.11:34279/
[rosmaster.master][INFO] 2016-01-25 13:18:39,188: +SERVICE [/tablet_transform/get_loggers] /tablet_transform http://10.0.0.11:55068/
[rosmaster.master][INFO] 2016-01-25 13:18:39,189: +SERVICE [/tablet_transform/set_logger_level] /tablet_transform http://10.0.0.11:55068/
[rosmaster.master][INFO] 2016-01-25 13:18:39,192: +PUB [/tf] /tablet_transform http://10.0.0.11:55068/
[rosmaster.master][INFO] 2016-01-25 13:18:39,201: +PUB [/rosout] /selection_tablet_transform http://10.0.0.11:56930/
[rosmaster.master][INFO] 2016-01-25 13:18:39,203: publisherUpdate[/rosout] -> http://10.0.0.11:59821/
[rosmaster.master][INFO] 2016-01-25 13:18:39,203: publisherUpdate[/tf] -> http://10.0.0.11:53911/
[rosmaster.master][INFO] 2016-01-25 13:18:39,203: publisherUpdate[/rosout] -> http://10.0.0.11:59821/
[rosmaster.master][INFO] 2016-01-25 13:18:39,206: publisherUpdate[/rosout] -> http://10.0.0.11:59821/
[rosmaster.master][INFO] 2016-01-25 13:18:39,204: +SERVICE [/selection_tablet_transform/get_loggers] /selection_tablet_transform http://10.0.0.11:56930/
[rosmaster.master][INFO] 2016-01-25 13:18:39,210: +SERVICE [/selection_tablet_transform/set_logger_level] /selection_tablet_transform http://10.0.0.11:56930/
[rosmaster.master][INFO] 2016-01-25 13:18:39,210: +PUB [/rosout] /experimenter_transform http://10.0.0.11:60075/
[rosmaster.master][INFO] 2016-01-25 13:18:39,212: +SERVICE [/experimenter_transform/get_loggers] /experimenter_transform http://10.0.0.11:60075/
[rosmaster.master][INFO] 2016-01-25 13:18:39,219: +PUB [/tf] /selection_tablet_transform http://10.0.0.11:56930/
[rosmaster.master][INFO] 2016-01-25 13:18:39,220: +SERVICE [/experimenter_transform/set_logger_level] /experimenter_transform http://10.0.0.11:60075/
[rosmaster.master][INFO] 2016-01-25 13:18:39,224: +PUB [/rosout] /observers_transform http://10.0.0.11:35818/
[rosmaster.master][INFO] 2016-01-25 13:18:39,225: +PUB [/tf] /experimenter_transform http://10.0.0.11:60075/
[rosmaster.master][INFO] 2016-01-25 13:18:39,226: +SERVICE [/observers_transform/get_loggers] /observers_transform http://10.0.0.11:35818/
[rosmaster.master][INFO] 2016-01-25 13:18:39,229: +SERVICE [/observers_transform/set_logger_level] /observers_transform http://10.0.0.11:35818/
[rosmaster.master][INFO] 2016-01-25 13:18:39,246: +PUB [/rosout] /camera_transform http://10.0.0.11:55657/
[rosmaster.master][INFO] 2016-01-25 13:18:39,248: +PUB [/tf] /observers_transform http://10.0.0.11:35818/
[rosmaster.master][INFO] 2016-01-25 13:18:39,249: +SERVICE [/camera_transform/get_loggers] /camera_transform http://10.0.0.11:55657/
[rosmaster.master][INFO] 2016-01-25 13:18:39,250: +PUB [/rosout] /robot_transform http://10.0.0.11:53526/
[rosmaster.master][INFO] 2016-01-25 13:18:39,251: +SERVICE [/camera_transform/set_logger_level] /camera_transform http://10.0.0.11:55657/
[rosmaster.master][INFO] 2016-01-25 13:18:39,252: +PUB [/rosout] /base_footprint_transform http://10.0.0.11:37266/
[rosmaster.master][INFO] 2016-01-25 13:18:39,257: +SERVICE [/robot_transform/get_loggers] /robot_transform http://10.0.0.11:53526/
[rosmaster.master][INFO] 2016-01-25 13:18:39,259: +SERVICE [/base_footprint_transform/get_loggers] /base_footprint_transform http://10.0.0.11:37266/
[rosmaster.master][INFO] 2016-01-25 13:18:39,260: +SERVICE [/robot_transform/set_logger_level] /robot_transform http://10.0.0.11:53526/
[rosmaster.master][INFO] 2016-01-25 13:18:39,261: +PUB [/tf] /camera_transform http://10.0.0.11:55657/
[rosmaster.master][INFO] 2016-01-25 13:18:39,263: +SERVICE [/base_footprint_transform/set_logger_level] /base_footprint_transform http://10.0.0.11:37266/
[rosmaster.master][INFO] 2016-01-25 13:18:39,280: +PUB [/tf] /robot_transform http://10.0.0.11:53526/
[rosmaster.master][INFO] 2016-01-25 13:18:39,284: +PUB [/rosout] /estimate_focus http://10.0.0.11:42794/
[rosmaster.master][INFO] 2016-01-25 13:18:39,286: +PUB [/tf] /base_footprint_transform http://10.0.0.11:37266/
[rosmaster.master][INFO] 2016-01-25 13:18:39,287: +SERVICE [/estimate_focus/get_loggers] /estimate_focus http://10.0.0.11:42794/
[rosmaster.master][INFO] 2016-01-25 13:18:39,290: +SERVICE [/estimate_focus/set_logger_level] /estimate_focus http://10.0.0.11:42794/
[rosmaster.master][INFO] 2016-01-25 13:18:39,299: +PUB [/estimate_focus] /estimate_focus http://10.0.0.11:42794/
[rosmaster.master][INFO] 2016-01-25 13:18:39,300: +SERVICE [/set_camera_info] /webcam_source http://10.0.0.11:34279/
[rosmaster.master][INFO] 2016-01-25 13:18:39,305: publisherUpdate[/rosout] -> http://10.0.0.11:59821/
[rosmaster.master][INFO] 2016-01-25 13:18:39,306: publisherUpdate[/tf] -> http://10.0.0.11:53911/
[rosmaster.master][INFO] 2016-01-25 13:18:39,307: publisherUpdate[/rosout] -> http://10.0.0.11:59821/
[rosmaster.master][INFO] 2016-01-25 13:18:39,308: publisherUpdate[/tf] -> http://10.0.0.11:53911/
[rosmaster.master][INFO] 2016-01-25 13:18:39,309: publisherUpdate[/rosout] -> http://10.0.0.11:59821/
[rosmaster.master][INFO] 2016-01-25 13:18:39,309: publisherUpdate[/tf] -> http://10.0.0.11:53911/
[rosmaster.master][INFO] 2016-01-25 13:18:39,310: publisherUpdate[/rosout] -> http://10.0.0.11:59821/
[rosmaster.master][INFO] 2016-01-25 13:18:39,310: publisherUpdate[/tf] -> http://10.0.0.11:53911/
[rosmaster.master][INFO] 2016-01-25 13:18:39,310: publisherUpdate[/rosout] -> http://10.0.0.11:59821/
