*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2016-01-25 10:18:35:024855" activity:learning_words_nao
"2016-01-25 10:18:41:394885" word:box
"2016-01-25 10:18:44:737787" clearscreen
"2016-01-25 10:18:57:751737" repetition:1
"2016-01-25 10:19:05:566004" writeTime:1804.0
"2016-01-25 10:19:05:566485" timeResponse:5620.0
"2016-01-25 10:19:09:104746" demo:b "(0.056799136102199554, 0.0562969334423542, 0.05589517205953598, 0.05576460063457489, 0.05585499852895737, 0.05593534931540489, 0.056106097996234894, 0.05626680329442024, 0.05651790276169777, 0.05682926997542381, 0.05717076361179352, 0.05751226469874382, 0.057823628187179565, 0.058064691722393036, 0.058325834572315216, 0.05850662291049957, 0.05870750918984413, 0.058848123997449875, 0.05895861238241196, 0.05903896316885948, 0.05905904993414879, 0.05905904993414879, 0.05905904993414879, 0.0589284747838974, 0.058817990124225616, 0.058657288551330566, 0.058516670018434525, 0.05834592133760452, 0.05819525942206383, 0.058054644614458084, 0.057954203337430954, 0.05793411657214165, 0.05796424672007561, 0.05814504250884056, 0.058386098593473434, 0.05867737531661987, 0.05896865203976631, 0.059280019253492355, 0.05960142984986305, 0.05995297059416771, 0.06039490923285484, 0.0609172023832798, 0.06149975582957268, 0.06217270344495773, 0.06286574900150299, 0.063548743724823, 0.06422169506549835, 0.06484442204236984, 0.06539685279130936, 0.06586892157793045, 0.06619032472372055, 0.06636107712984085, 0.06636107712984085, 0.06613006442785263, 0.06572830677032471, 0.06510557234287262, 0.06434222310781479, 0.06341817229986191, 0.06234345585107803, 0.06117834523320198, 0.05995297059416771, 0.05869746208190918, 0.05757252871990204, 0.05659825727343559, 0.05586503818631172, 0.055443186312913895, 0.055282484740018845, 0.05566415935754776, 0.05621657893061638, 0.05723103508353233, 0.058556847274303436, -0.06608439236879349, -0.06581322848796844, -0.06564249843358994, -0.06529098004102707, -0.06472855806350708, -0.06394518911838531, -0.0628705620765686, -0.06156494840979576, -0.05998816341161728, -0.058280814439058304, -0.05652325227856636, -0.05477573350071907, -0.05313868075609207, -0.0516020730137825, -0.050095587968826294, -0.04868953675031662, -0.047283485531806946, -0.0459577850997448, -0.04471241682767868, -0.043587576597929, -0.04258326068520546, -0.04175971448421478, -0.04109685868024826, -0.040614791214466095, -0.04027332365512848, -0.04009253531694412, -0.040052369236946106, -0.04008249565958977, -0.04035366326570511, -0.04083574190735817, -0.04159902036190033, -0.04264352098107338, -0.0440395213663578, -0.04558618366718292, -0.047223225235939026, -0.048769887536764145, -0.050065457820892334, -0.05114008113741875, -0.05192345380783081, -0.05251600220799446, -0.052917737513780594, -0.05317885801196098, -0.053269244730472565, -0.05314872786402702, -0.052797213196754456, -0.05219462141394615, -0.051310814917087555, -0.05017593502998352, -0.04888036474585533, -0.04748435318470001, -0.04607830196619034, -0.04475259408354759, -0.04352731630206108, -0.04245269298553467, -0.041528720408678055, -0.04077547416090965, -0.040112629532814026, -0.03961046785116196, -0.039218779653310776, -0.03897774592041969, -0.0388471782207489, -0.0388471782207489, -0.038927529007196426, -0.03911834582686424, -0.039419639855623245, -0.03979124128818512, -0.04039384052157402, -0.04097634181380272, -0.0418199747800827, -0.042563170194625854, -0.04310550540685654)"
"2016-01-25 10:19:09:104972" learn:b "(0.027670511975884438, 0.01993037573993206, 0.013140736147761345, 0.010631627403199673, 0.013374049216508865, 0.01923319883644581, 0.029670272022485733, 0.04123593494296074, 0.056026700884103775, 0.0722668245434761, 0.08936100453138351, 0.10609208792448044, 0.12129537761211395, 0.13418689370155334, 0.14611947536468506, 0.1555563509464264, 0.16307039558887482, 0.16822169721126556, 0.17146429419517517, 0.17272907495498657, 0.1730411797761917, 0.17183983325958252, 0.16991524398326874, 0.16629469394683838, 0.16319997608661652, 0.16044005751609802, 0.15832717716693878, 0.15604405105113983, 0.15466400980949402, 0.15393158793449402, 0.1549488604068756, 0.1579633355140686, 0.1636018455028534, 0.17276746034622192, 0.1839723289012909, 0.1966398060321808, 0.2103186547756195, 0.2248435616493225, 0.24065592885017395, 0.25838443636894226, 0.2780487835407257, 0.29930853843688965, 0.32188037037849426, 0.34492290019989014, 0.3674338161945343, 0.38784122467041016, 0.4056148827075958, 0.42016828060150146, 0.43037983775138855, 0.4356794059276581, 0.43523189425468445, 0.42871809005737305, 0.4160381555557251, 0.39776092767715454, 0.37401434779167175, 0.3461869955062866, 0.3155544400215149, 0.28165215253829956, 0.2458488941192627, 0.2094409018754959, 0.17370982468128204, 0.1407054364681244, 0.1117454394698143, 0.0895194411277771, 0.07467226684093475, 0.0691017284989357, 0.07702520489692688, 0.09121932089328766, 0.11712200939655304, 0.15410400927066803, 0.0, 0.005597914569079876, 0.011203600093722343, 0.024065649136900902, 0.045438509434461594, 0.0760786384344101, 0.1175181046128273, 0.16718392074108124, 0.22466473281383514, 0.28605446219444275, 0.34859248995780945, 0.4111115336418152, 0.4694502055644989, 0.5244214534759521, 0.5763539671897888, 0.623778760433197, 0.667739987373352, 0.7076225280761719, 0.7437560558319092, 0.7752059102058411, 0.8023335337638855, 0.8241586089134216, 0.8407639265060425, 0.8529093265533447, 0.8605172038078308, 0.862472653388977, 0.8592317700386047, 0.8490155339241028, 0.8309341669082642, 0.8045740723609924, 0.7703312635421753, 0.7298184037208557, 0.6852884888648987, 0.6401922106742859, 0.5975375771522522, 0.5618513822555542, 0.5344809293746948, 0.5150169730186462, 0.5037820935249329, 0.4992133378982544, 0.5007561445236206, 0.508056640625, 0.5211533904075623, 0.5405011773109436, 0.5654647350311279, 0.5958757400512695, 0.6312527060508728, 0.6700799465179443, 0.7104953527450562, 0.7515044808387756, 0.7905418276786804, 0.8274863958358765, 0.8613505959510803, 0.8915420174598694, 0.9182887673377991, 0.9424437284469604, 0.9625470042228699, 0.9788545966148376, 0.9907594919204712, 0.9976359009742737, 1.0, 0.9966554641723633, 0.9881457686424255, 0.9749177694320679, 0.9563456177711487, 0.9317980408668518, 0.906943142414093, 0.8767485618591309, 0.8483210802078247, 0.8252256512641907)"
"2016-01-25 10:19:09:105117" new_letter "score: 0.42097261548"
"2016-01-25 10:19:09:108293" demo:o "(0.08156777918338776, 0.08156777918338776, 0.0815376490354538, 0.08129658550024033, 0.08094504475593567, 0.08066381514072418, 0.08028213679790497, 0.07987033575773239, 0.0793982595205307, 0.0789261907339096, 0.07844407856464386, 0.07801218330860138, 0.07764055579900742, 0.07739949226379395, 0.07728901505470276, 0.07731914520263672, 0.07757024466991425, 0.07796195894479752, 0.07849429547786713, 0.07915720343589783, 0.0798904225230217, 0.08068390190601349, 0.08151756227016449, 0.08236125856637955, 0.08313465118408203, 0.08380760252475739, 0.08431985229253769, 0.08466134965419769, 0.08482205122709274, 0.08482205122709274, 0.08463121205568314, 0.08427967131137848, 0.08377747237682343, 0.08316478878259659, 0.0825219601392746, 0.08194945007562637, 0.08152759820222855, 0.08122628182172775, 0.08120619505643845, 0.08120619505643845, 0.08159790933132172, 0.08216037601232529, 0.0828634649515152, -0.0474441759288311, -0.047665130347013474, -0.048257675021886826, -0.04867949336767197, -0.04894062131643295, -0.04892052710056305, -0.04880001023411751, -0.04852884262800217, -0.048117075115442276, -0.04752451926469803, -0.04677128046751022, -0.04583725705742836, -0.04483294486999512, -0.043748270720243454, -0.04267364367842674, -0.041649237275123596, -0.040675047785043716, -0.03981132432818413, -0.03907817229628563, -0.03848562762141228, -0.038093939423561096, -0.03784285485744476, -0.03780268877744675, -0.03783281147480011, -0.03816423937678337, -0.03863626718521118, -0.03933929651975632, -0.040223103016614914, -0.04124750941991806, -0.042362309992313385, -0.043487150222063065, -0.044561777263879776, -0.045525923371315, -0.046329379081726074, -0.04694201424717903, -0.047373875975608826, -0.047634996473789215, -0.047785647213459015, -0.04767517000436783, -0.04753457009792328, -0.04706253483891487, -0.04650011286139488, -0.045977868139743805)"
"2016-01-25 10:19:09:108438" new_letter "score: 0.24582375586"
"2016-01-25 10:19:09:109887" learn:o "(0.21408893167972565, 0.21414817869663239, 0.21145278215408325, 0.20503827929496765, 0.1962861567735672, 0.18620505928993225, 0.17203181982040405, 0.16403357684612274, 0.15326720476150513, 0.14651289582252502, 0.1365443617105484, 0.13217392563819885, 0.13133971393108368, 0.1287173628807068, 0.11365582793951035, 0.10370492935180664, 0.09545491635799408, 0.08845482021570206, 0.08556663244962692, 0.08002106845378876, 0.08514401316642761, 0.09066646546125412, 0.10365626960992813, 0.11294529587030411, 0.13102270662784576, 0.14354126155376434, 0.16264720261096954, 0.1821543425321579, 0.20472757518291473, 0.22746002674102783, 0.24992237985134125, 0.2765495479106903, 0.2967734634876251, 0.31932318210601807, 0.3408870995044708, 0.35685718059539795, 0.3737030327320099, 0.38354676961898804, 0.4053451418876648, 0.42308035492897034, 0.43888628482818604, 0.45423153042793274, 0.4699968993663788, 0.4793175160884857, 0.4875676929950714, 0.48617610335350037, 0.48327958583831787, 0.47267255187034607, 0.4591023623943329, 0.44217634201049805, 0.42503622174263, 0.4061492681503296, 0.3843805193901062, 0.36001521348953247, 0.3321039080619812, 0.30954545736312866, 0.2896116375923157, 0.26919418573379517, 0.2521201968193054, 0.2373533695936203, 0.22328412532806396, 0.21503691375255585, 0.21758604049682617, 0.23486031591892242, 0.24787044525146484, 0.2689950466156006, 0.29292893409729004, 0.3286762237548828, 0.36749669909477234, 0.4191954731941223, 0.06833727657794952, 0.06095270439982414, 0.05185670405626297, 0.037074893712997437, 0.030991293489933014, 0.02885044366121292, 0.03191613405942917, 0.0389290452003479, 0.050974342972040176, 0.06874274462461472, 0.08907802402973175, 0.11949189007282257, 0.1523262858390808, 0.18606308102607727, 0.22281335294246674, 0.2609958350658417, 0.30505993962287903, 0.35170677304267883, 0.3988898694515228, 0.452894002199173, 0.5175687670707703, 0.5728051066398621, 0.638170599937439, 0.6918964982032776, 0.7367498278617859, 0.7852393984794617, 0.8321182131767273, 0.8730626106262207, 0.9054144024848938, 0.9288414716720581, 0.9497981071472168, 0.9627582430839539, 0.9709363579750061, 0.9736143350601196, 0.97118079662323, 0.9644785523414612, 0.9505232572555542, 0.9295859932899475, 0.9075479507446289, 0.8778982758522034, 0.8453041911125183, 0.811976969242096, 0.7702680230140686, 0.732189953327179, 0.6914817690849304, 0.6461542844772339, 0.5982438325881958, 0.5520521998405457, 0.5042633414268494, 0.4616873562335968, 0.42264896631240845, 0.38250529766082764, 0.3523609936237335, 0.3214603662490845, 0.29783713817596436, 0.2770991623401642, 0.25892776250839233, 0.24649719893932343, 0.2364124059677124, 0.23303496837615967, 0.23266391456127167, 0.23706752061843872, 0.24762216210365295, 0.25687676668167114, 0.2722139358520508, 0.2950628697872162, 0.32019689679145813, 0.34775954484939575, 0.3757622241973877, 0.42027392983436584)"
"2016-01-25 10:19:09:111858" demo:x "(0.09834135323762894, 0.09826099872589111, 0.0980500727891922, 0.0980500727891922, 0.09826099872589111, 0.09850205481052399, 0.09891386330127716, 0.09936584532260895, 0.09995844960212708, 0.10062135756015778, 0.1013445183634758, 0.10204761475324631, 0.1026904284954071, 0.10327298194169998, 0.1038254052400589, 0.10434769839048386, 0.10486998409032822, 0.10541236400604248, 0.10587438941001892, 0.10637659579515457, 0.10669800639152527, 0.10701941698789597, 0.10730065405368805, 0.10618575662374496, 0.10586435347795486, 0.10538223385810852, 0.10474945604801178, 0.10417694598436356, 0.10356426239013672, 0.1028209999203682, 0.1020074412226677, 0.10116373747587204, 0.10032003372907639, 0.0995466411113739, 0.09885359555482864, 0.09817060828208923, 0.09765835106372833, 0.09710593521595001, 0.0965735912322998, 0.09616179764270782, -0.046038128435611725, -0.04613856226205826, -0.04643985256552696, -0.04653024673461914, -0.04634946957230568, -0.046058207750320435, -0.04553596302866936, -0.04489320144057274, -0.04408973827958107, -0.043256159871816635, -0.04238239303231239, -0.04154880344867706, -0.04074534773826599, -0.039982061833143234, -0.03932925686240196, -0.03871661797165871, -0.03820441663265228, -0.03773237764835358, -0.037340693175792694, -0.03693896532058716, -0.0367581881582737, -0.0366075374186039, -0.0366075374186039, -0.04418013244867325, -0.04433078318834305, -0.04448142275214195, -0.044812850654125214, -0.04441112279891968, -0.043878838419914246, -0.043185848742723465, -0.0424024760723114, -0.04150863736867905, -0.04056457430124283, -0.03961046785116196, -0.0386965349316597, -0.03785290569067001, -0.03689879924058914, -0.03605516999959946, -0.03538227081298828, -0.03486001864075661)"
"2016-01-25 10:19:09:113419" learn:x "(0.09350698441267014, 0.09305857121944427, 0.10566025227308273, 0.11287221312522888, 0.11771535873413086, 0.11863662302494049, 0.12976782023906708, 0.1367834359407425, 0.14872002601623535, 0.1567041426897049, 0.1785101443529129, 0.2074139416217804, 0.23831753432750702, 0.2594216763973236, 0.2789991497993469, 0.3010294437408447, 0.33150434494018555, 0.37436309456825256, 0.4051636755466461, 0.4358486533164978, 0.4695461094379425, 0.5060403347015381, 0.5453959107398987, 0.5688724517822266, 0.5750916004180908, 0.5706114172935486, 0.5424875617027283, 0.523656964302063, 0.5209893584251404, 0.5253121852874756, 0.5419533848762512, 0.5733873248100281, 0.5997211933135986, 0.6275740265846252, 0.6683444380760193, 0.7110147476196289, 0.7465734481811523, 0.794102668762207, 0.8255658745765686, 0.8408787846565247, 0.8239104151725769, 0.8083680272102356, 0.8045833110809326, 0.7958356142044067, 0.7883783578872681, 0.7649886608123779, 0.7349083423614502, 0.6987022757530212, 0.678087592124939, 0.6613907814025879, 0.625418484210968, 0.5795883536338806, 0.5396177768707275, 0.5153288841247559, 0.4981432557106018, 0.4863269627094269, 0.47166383266448975, 0.45982232689857483, 0.4448634088039398, 0.43103474378585815, 0.4161956310272217, 0.4100419580936432, 0.39848804473876953, 0.3813686966896057, 0.37016114592552185, 0.36467134952545166, 0.3672409951686859, 0.37759125232696533, 0.37593892216682434, 0.3607480823993683, 0.0583798885345459, 0.05697532370686531, 0.05240509659051895, 0.037624605000019073, 0.030665254220366478, 0.027441447600722313, 0.02668791636824608, 0.024297049269080162, 0.0328793004155159, 0.03464018180966377, 0.03592311590909958, 0.04797687754034996, 0.06545624881982803, 0.09285200387239456, 0.1231428012251854, 0.1502186805009842, 0.17577314376831055, 0.19709032773971558, 0.22313255071640015, 0.2558993697166443, 0.28402262926101685, 0.31708982586860657, 0.37010225653648376, 0.42871224880218506, 0.4957292675971985, 0.5446429252624512, 0.5881533026695251, 0.6100225448608398, 0.630121648311615, 0.6540762186050415, 0.6769086718559265, 0.6853770017623901, 0.6912737488746643, 0.6816186904907227, 0.6659108996391296, 0.6445891261100769, 0.63113933801651, 0.6125965118408203, 0.6055034399032593, 0.5891528725624084, 0.3980874717235565, 0.26429644227027893, 0.24728751182556152, 0.24242521822452545, 0.23700599372386932, 0.22987374663352966, 0.21955712139606476, 0.21833570301532745, 0.22693991661071777, 0.26363644003868103, 0.30730387568473816, 0.37034064531326294, 0.4302558898925781, 0.48992887139320374, 0.5351223349571228, 0.5815461277961731, 0.6195811629295349, 0.6520428657531738, 0.6812864542007446, 0.7116891741752625, 0.7419034242630005, 0.7739169001579285, 0.7988205552101135, 0.8195837140083313, 0.8480209708213806, 0.8769530057907104, 0.910323977470398, 0.9369333982467651, 0.9525636434555054, 1.0)"
"2016-01-25 10:19:09:112020" new_letter "score: 0.339068800211"
"2016-01-25 10:19:09:114587" clearscreen
"2016-01-25 10:19:22:021955" repetition:2
"2016-01-25 10:19:32:362473" word:pen
"2016-01-25 10:19:36:468625" clearscreen
"2016-01-25 10:19:49:372668" repetition:1
"2016-01-25 10:19:53:737133" timeResponse:2568.0
"2016-01-25 10:19:53:738739" writeTime:1493.0
