[rosmaster.main][INFO] 2015-05-22 09:07:16,918: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2015-05-22 09:07:16,918: Starting ROS Master Node
[xmlrpc][INFO] 2015-05-22 09:07:16,919: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2015-05-22 09:07:16,920: Started XML-RPC server [http://192.168.1.13:11311/]
[rosmaster.master][INFO] 2015-05-22 09:07:16,920: Master initialized: port[11311], uri[http://192.168.1.13:11311/]
[xmlrpc][INFO] 2015-05-22 09:07:16,920: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2015-05-22 09:07:17,006: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:07:17,008: +PARAM [/roslaunch/uris/host_192_168_1_13__41598] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:07:17,072: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:07:17,072: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:07:17,084: +SERVICE [/rosout/get_loggers] /rosout http://192.168.1.13:52453/
[rosmaster.master][INFO] 2015-05-22 09:07:17,086: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.1.13:52453/
[rosmaster.master][INFO] 2015-05-22 09:07:17,090: +PUB [/rosout_agg] /rosout http://192.168.1.13:52453/
[rosmaster.master][INFO] 2015-05-22 09:07:17,095: +SUB [/rosout] /rosout http://192.168.1.13:52453/
[rosmaster.master][INFO] 2015-05-22 09:08:52,369: +PARAM [/roslaunch/uris/host_192_168_1_13__48799] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,383: +PARAM [/activityManager/current_activity_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,383: +PARAM [/drawing_nao/shape_log] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,384: +PARAM [/learning_words_nao/shape_writing_finished_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,384: +PARAM [/activityManager/clear_writing_surface_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,384: +PARAM [/nao_writer/nao_handedness] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,384: +PARAM [/drawing_nao/stop_request_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,384: +PARAM [/trajectory_visualizer/clear_surface_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,385: +PARAM [/writing_surface_positioner/tag_frame_id] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,385: +PARAM [/learning_words_nao/stop_request_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,385: +PARAM [/activity_manager/stop_request_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,385: +PARAM [/nao_writer/nao_ip] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,385: +PARAM [/activityManager/nao_handedness] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,385: +PARAM [/learning_words_nao/trajectory_output_nao_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,385: +PARAM [/trajectory_visualizer/trajectory_input_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,386: +PARAM [/trajectory_visualizer/writing_surface_frame_id] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,386: +PARAM [/activityManager/language] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,386: +PARAM [/writing_surface_positioner/surface_width] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,386: +PARAM [/learning_words_nao/nb_repetitions_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,386: +PARAM [/joke_nao/dataset_directory] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,386: +PARAM [/activityManager/nao_standing] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,386: +PARAM [/tablet_input_interpreter/shape_feedback_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,386: +PARAM [/tablet_input_interpreter/touch_info_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,387: +PARAM [/activityManager/new_teacher_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,387: +PARAM [/learning_words_nao/test_request_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,387: +PARAM [/activityManager/time_activity_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,387: +PARAM [/trajectory_visualizer/visualization_output_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,387: +PARAM [/learning_words_nao/gesture_info_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,387: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,387: +PARAM [/writing_surface_positioner/surface_height] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,388: +PARAM [/writing_surface_positioner/writing_surface_frame_id] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,388: +PARAM [/activityManager/nao_speaking] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,388: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,388: +PARAM [/nao_writer/trajectory_input_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,388: +PARAM [/joke_nao/shape_log] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,388: +PARAM [/joke_nao/stop_request_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,388: +PARAM [/learning_words_nao/dataset_directory] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,389: +PARAM [/activity_manager/shape_log] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,389: +PARAM [/learning_words_nao/shape_feedback_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-22 09:08:52,389: +PARAM [/writing_surface_positioner/positioning_method] by /roslaunch
