[rosmaster.main][INFO] 2015-05-29 08:53:35,073: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2015-05-29 08:53:35,073: Starting ROS Master Node
[xmlrpc][INFO] 2015-05-29 08:53:35,074: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2015-05-29 08:53:35,074: Started XML-RPC server [http://192.168.1.13:11311/]
[xmlrpc][INFO] 2015-05-29 08:53:35,074: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2015-05-29 08:53:35,074: Master initialized: port[11311], uri[http://192.168.1.13:11311/]
[rosmaster.master][INFO] 2015-05-29 08:53:35,170: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:53:35,172: +PARAM [/roslaunch/uris/host_192_168_1_13__50710] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:53:35,232: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:53:35,232: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:53:35,261: +SERVICE [/rosout/get_loggers] /rosout http://192.168.1.13:54609/
[rosmaster.master][INFO] 2015-05-29 08:53:35,261: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.1.13:54609/
[rosmaster.master][INFO] 2015-05-29 08:53:35,263: +PUB [/rosout_agg] /rosout http://192.168.1.13:54609/
[rosmaster.master][INFO] 2015-05-29 08:53:35,266: +SUB [/rosout] /rosout http://192.168.1.13:54609/
[rosmaster.master][INFO] 2015-05-29 08:55:23,156: +PARAM [/roslaunch/uris/host_192_168_1_13__56484] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,174: +PARAM [/activityManager/current_activity_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,174: +PARAM [/drawing_nao/shape_log] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,174: +PARAM [/learning_words_nao/shape_writing_finished_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,174: +PARAM [/activityManager/clear_writing_surface_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,174: +PARAM [/nao_writer/nao_handedness] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,174: +PARAM [/drawing_nao/stop_request_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,174: +PARAM [/trajectory_visualizer/clear_surface_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,174: +PARAM [/writing_surface_positioner/tag_frame_id] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,174: +PARAM [/learning_words_nao/stop_request_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,174: +PARAM [/activity_manager/stop_request_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,175: +PARAM [/nao_writer/nao_ip] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,175: +PARAM [/activityManager/nao_handedness] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,175: +PARAM [/learning_words_nao/trajectory_output_nao_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,175: +PARAM [/trajectory_visualizer/trajectory_input_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,175: +PARAM [/trajectory_visualizer/writing_surface_frame_id] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,175: +PARAM [/activityManager/language] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,175: +PARAM [/writing_surface_positioner/surface_width] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,175: +PARAM [/learning_words_nao/nb_repetitions_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,175: +PARAM [/joke_nao/dataset_directory] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,175: +PARAM [/activityManager/nao_standing] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,175: +PARAM [/tablet_input_interpreter/shape_feedback_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,175: +PARAM [/tablet_input_interpreter/touch_info_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,175: +PARAM [/activityManager/new_teacher_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,175: +PARAM [/learning_words_nao/test_request_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,175: +PARAM [/activityManager/time_activity_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,176: +PARAM [/trajectory_visualizer/visualization_output_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,176: +PARAM [/learning_words_nao/gesture_info_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,176: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,176: +PARAM [/writing_surface_positioner/surface_height] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,176: +PARAM [/writing_surface_positioner/writing_surface_frame_id] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,176: +PARAM [/activityManager/nao_speaking] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,176: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,176: +PARAM [/nao_writer/trajectory_input_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,176: +PARAM [/joke_nao/shape_log] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,176: +PARAM [/joke_nao/stop_request_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,176: +PARAM [/learning_words_nao/dataset_directory] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,176: +PARAM [/activity_manager/shape_log] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,176: +PARAM [/learning_words_nao/shape_feedback_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,176: +PARAM [/writing_surface_positioner/positioning_method] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,177: +PARAM [/writing_surface_positioner/nao_handedness] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,177: +PARAM [/activityManager/nao_writing] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,177: +PARAM [/learning_words_nao/shape_log] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,177: +PARAM [/learning_words_nao/processed_user_shape_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,177: +PARAM [/learning_words_nao/writing_surface_frame_id] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,177: +PARAM [/activityManager/camera_publishing_status_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,177: +PARAM [/activityManager/use_robot_in_interaction] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,177: +PARAM [/wait_to_sync_traj] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,177: +PARAM [/tablet_input_interpreter/gesture_info_topic] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,177: +PARAM [/activityManager/nao_ip] by /roslaunch
[rosmaster.master][INFO] 2015-05-29 08:55:23,177: +PARAM [/learning_words_nao/words_to_write_topic] by /roslaunch
